inventory_id,store_id,product_id,quantity_on_hand
1,1,1001,12
2,1,1002,237
3,1,1003,447
4,1,1004,94
5,1,1005,189
6,1,1006,360
7,1,1007,440
8,1,1008,197
9,1,1009,170
10,1,1010,151
11,1,1011,138
12,1,1012,313
13,1,1013,406
14,1,1014,0
15,2,1001,450
16,2,1002,0
17,2,1003,484
18,2,1004,186
19,2,1005,56
20,2,1006,238
21,2,1007,187
22,2,1008,331
23,2,1009,34
24,2,1010,396
25,2,1011,171
26,2,1012,58
27,2,1013,377
28,2,1014,297
29,3,1001,359
30,3,1002,381
31,3,1003,164
32,3,1004,136
33,3,1005,216
34,3,1006,32
35,3,1007,231
36,3,1008,269
37,3,1009,240
38,3,1010,347
39,3,1011,460
40,3,1012,317
41,3,1013,344
42,3,1014,414
43,4,1001,0
44,4,1002,456
45,4,1003,0
46,4,1004,459
47,4,1005,490
48,4,1006,55
49,4,1007,57
50,4,1008,254
51,4,1009,104
52,4,1010,0
53,4,1011,213
54,4,1012,277
55,4,1013,242
56,4,1014,227
57,5,1001,10
58,5,1002,0
59,5,1003,410
60,5,1004,485
61,5,1005,171
62,5,1006,175
63,5,1007,402
64,5,1008,303
65,5,1009,271
66,5,1010,227
67,5,1011,290
68,5,1012,404
69,5,1013,404
70,5,1014,247
