po_id,supplier_id,order_date,delivery_date
70001,3,2024-01-25,
70002,3,2024-08-21,2024-09-02
70003,2,2024-12-30,2025-01-04
70004,2,2024-12-28,2025-01-10
70005,2,2024-03-23,2024-03-26
70006,3,2024-10-21,
70007,3,2024-07-08,2024-07-19
70008,1,2024-12-06,2024-12-14
70009,2,2024-07-09,2024-07-14
70010,5,2024-06-03,
70011,1,2024-07-26,2024-07-31
70012,4,2024-06-12,2024-06-26
70013,5,2024-09-16,2024-09-30
70014,3,2024-08-30,2024-09-11
70015,2,2024-10-16,2024-10-26
70016,3,2024-12-18,
70017,4,2024-01-21,
70018,5,2024-02-29,2024-03-09
70019,5,2024-04-22,2024-04-26
70020,3,2024-01-29,2024-02-04
70021,5,2024-09-26,2024-10-03
70022,2,2024-01-12,
70023,4,2024-12-12,2024-12-16
70024,5,2024-07-20,2024-07-28
70025,5,2024-11-05,2024-11-08
70026,3,2024-07-22,
70027,4,2024-07-08,2024-07-11
70028,3,2024-06-25,2024-07-05
70029,5,2024-02-14,2024-02-24
70030,4,2024-08-14,2024-08-28
70031,4,2024-07-31,
70032,5,2024-11-02,
70033,2,2024-06-04,2024-06-15
70034,3,2024-02-03,2024-02-15
70035,4,2024-02-15,
70036,3,2024-07-31,2024-08-10
70037,5,2024-03-11,2024-03-20
70038,3,2024-10-10,2024-10-17
70039,5,2024-06-04,2024-06-18
70040,4,2024-04-24,
70041,1,2024-03-19,2024-04-01
70042,4,2024-03-04,2024-03-11
70043,4,2024-04-01,2024-04-15
70044,2,2024-01-15,
70045,3,2024-09-09,2024-09-13
70046,5,2024-07-04,2024-07-16
70047,4,2024-05-12,2024-05-22
70048,1,2024-07-10,2024-07-22
70049,1,2024-05-12,2024-05-15
70050,2,2024-06-12,2024-06-26
70051,2,2024-07-01,2024-07-08
70052,3,2024-08-02,2024-08-10
70053,1,2024-05-28,2024-06-10
70054,1,2024-09-20,2024-10-03
70055,2,2024-02-18,2024-02-23
70056,5,2024-06-14,2024-06-27
70057,3,2024-05-18,2024-06-01
70058,3,2024-02-19,2024-02-27
70059,2,2024-01-07,
70060,3,2024-07-09,2024-07-18
70061,3,2024-03-24,
70062,2,2024-09-14,2024-09-20
70063,5,2024-11-10,2024-11-21
70064,5,2024-12-30,2025-01-03
70065,4,2024-08-23,2024-08-27
70066,2,2024-01-09,2024-01-16
70067,3,2024-03-12,2024-03-24
70068,5,2024-06-24,2024-07-01
70069,1,2024-03-01,2024-03-15
70070,2,2024-12-18,2024-12-23
70071,2,2024-03-07,2024-03-16
70072,1,2024-02-09,
70073,4,2024-08-08,
70074,1,2024-01-17,2024-01-28
70075,5,2024-01-31,2024-02-07
70076,1,2024-02-03,2024-02-06
70077,1,2024-03-04,2024-03-10
70078,5,2024-04-12,2024-04-20
70079,1,2024-02-16,
70080,3,2024-10-23,2024-10-28
70081,5,2024-11-09,2024-11-21
70082,1,2024-02-20,2024-02-23
70083,5,2024-04-21,2024-04-28
70084,2,2024-10-02,
