transaction_id,store_id,product_id,quantity_sold,unit_price,total_amount,sale_date
50001,2,1004,9,180.0,1620.0,2024-11-04
50002,1,1009,4,85.0,340.0,2024-11-28
50003,5,1007,4,45.0,180.0,2024-08-17
50004,5,1005,1,185.0,185.0,2024-03-22
50005,4,1006,5,120.0,600.0,2024-03-20
50006,2,1013,6,120.0,720.0,2024-02-22
50007,1,1007,2,45.0,90.0,2024-07-02
50008,3,1010,5,25.0,125.0,2024-01-23
50009,4,1009,2,85.0,170.0,2024-07-12
50010,1,1009,5,85.0,425.0,2024-11-17
50011,5,1014,6,35.0,210.0,2024-10-22
50012,2,1012,2,40.0,80.0,2024-01-24
50013,2,1013,5,120.0,600.0,2024-02-10
50014,2,1014,2,35.0,70.0,2024-07-13
50015,3,1008,6,65.0,390.0,2024-03-24
50016,3,1006,4,120.0,480.0,2024-12-09
50017,3,1012,2,40.0,80.0,2024-11-07
50018,2,1009,4,85.0,340.0,2024-03-24
50019,4,1007,5,45.0,225.0,2024-11-23
50020,5,1004,6,180.0,1080.0,2024-01-29
50021,2,1014,1,35.0,35.0,2024-06-10
50022,4,1005,2,185.0,370.0,2024-04-18
50023,5,1012,6,40.0,240.0,2024-04-18
50024,4,1007,8,45.0,360.0,2024-03-14
50025,3,1003,4,55.0,220.0,2024-10-14
50026,5,1005,10,185.0,1850.0,2024-08-07
50027,5,1007,6,45.0,270.0,2024-04-22
50028,2,1009,8,85.0,680.0,2024-02-16
50029,1,1014,2,35.0,70.0,2024-03-19
50030,2,1013,7,120.0,840.0,2024-11-01
50031,1,1007,7,45.0,315.0,2024-11-01
50032,4,1009,5,85.0,425.0,2024-10-10
50033,1,1011,2,30.0,60.0,2024-12-15
50034,5,1013,5,120.0,600.0,2024-11-24
50035,3,1002,5,35.0,175.0,2024-08-10
50036,2,1008,1,65.0,65.0,2024-05-14
50037,5,1013,3,120.0,360.0,2024-09-16
50038,1,1014,5,35.0,175.0,2024-11-23
50039,5,1010,4,25.0,100.0,2024-03-19
50040,3,1013,3,120.0,360.0,2024-10-03
50041,5,1001,10,450.0,4500.0,2024-06-14
50042,4,1001,2,450.0,900.0,2024-07-04
50043,3,1004,1,180.0,180.0,2024-05-03
50044,5,1002,2,35.0,70.0,2024-09-05
50045,1,1013,9,120.0,1080.0,2024-03-05
50046,2,1011,8,30.0,240.0,2024-10-08
50047,2,1005,9,185.0,1665.0,2024-11-06
50048,4,1004,9,180.0,1620.0,2024-12-19
50049,2,1012,5,40.0,200.0,2024-07-23
50050,3,1008,9,65.0,585.0,2024-08-19
50051,1,1004,4,180.0,720.0,2024-02-02
50052,3,1001,10,450.0,4500.0,2024-10-10
50053,2,1010,4,25.0,100.0,2024-01-04
50054,1,1012,1,40.0,40.0,2024-04-27
50055,1,1001,6,450.0,2700.0,2024-02-06
50056,5,1004,5,180.0,900.0,2024-12-08
50057,4,1004,9,180.0,1620.0,2024-03-08
50058,5,1010,8,25.0,200.0,2024-05-04
50059,4,1013,7,120.0,840.0,2024-04-07
50060,1,1002,7,35.0,245.0,2024-06-30
50061,4,1007,8,45.0,360.0,2024-01-28
50062,1,1001,7,450.0,3150.0,2024-06-22
50063,1,1004,4,180.0,720.0,2024-04-07
50064,5,1008,3,65.0,195.0,2024-08-04
50065,2,1005,8,185.0,1480.0,2024-05-07
50066,1,1008,9,65.0,585.0,2024-02-20
50067,1,1011,9,30.0,270.0,2024-01-08
50068,1,1013,4,120.0,480.0,2024-03-26
50069,4,1008,8,65.0,520.0,2024-04-19
50070,4,1001,3,450.0,1350.0,2024-07-13
50071,1,1007,5,45.0,225.0,2024-08-20
50072,3,1007,9,45.0,405.0,2024-12-04
50073,4,1003,4,55.0,220.0,2024-05-31
50074,2,1001,10,450.0,4500.0,2024-10-04
50075,1,1012,6,40.0,240.0,2024-01-30
50076,1,1010,8,25.0,200.0,2024-09-14
50077,5,1003,1,55.0,55.0,2024-09-17
50078,1,1014,3,35.0,105.0,2024-02-05
50079,5,1002,4,35.0,140.0,2024-07-25
50080,1,1010,4,25.0,100.0,2024-10-23
50081,5,1001,10,450.0,4500.0,2024-02-11
50082,4,1011,10,30.0,300.0,2024-10-16
50083,5,1006,5,120.0,600.0,2024-04-14
50084,3,1004,5,180.0,900.0,2024-07-21
50085,2,1011,5,30.0,150.0,2024-08-22
50086,3,1013,2,120.0,240.0,2024-01-05
50087,4,1010,10,25.0,250.0,2024-02-21
50088,1,1009,4,85.0,340.0,2024-09-16
50089,3,1003,6,55.0,330.0,2024-02-05
50090,2,1006,5,120.0,600.0,2024-03-21
50091,4,1014,9,35.0,315.0,2024-12-26
50092,3,1010,9,25.0,225.0,2024-01-05
50093,5,1005,2,185.0,370.0,2024-03-09
50094,3,1002,2,35.0,70.0,2024-10-10
50095,2,1005,5,185.0,925.0,2024-11-05
50096,2,1012,6,40.0,240.0,2024-04-14
50097,3,1009,8,85.0,680.0,2024-05-08
50098,1,1002,7,35.0,245.0,2024-05-21
50099,1,1001,6,450.0,2700.0,2024-03-07
50100,3,1003,8,55.0,440.0,2024-10-09
50101,4,1009,1,85.0,85.0,2024-02-27
50102,1,1012,3,40.0,120.0,2024-10-06
50103,1,1014,6,35.0,210.0,2024-10-25
50104,5,1003,7,55.0,385.0,2024-03-06
50105,1,1005,6,185.0,1110.0,2024-01-21
